Year,Make,Model,Variant,Engine Type,City,Transmission,Price_numeric,Distance_numeric,New_price_numeric,Price_Drop_%
2016,Maruti Suzuki,Swift,VXi,Petrol,Bangalore,Manual,700000.0,41187,700000.0,0.0
2017,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,700000.0,87820,700000.0,0.0
2019,Maruti Suzuki,Swift,VXi,Petrol,Delhi,Manual,700000.0,19744,700000.0,0.0
2023,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,700000.0,8058,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,700000.0,42684,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,700000.0,78000,700000.0,0.0
2014,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,700000.0,87000,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,700000.0,68000,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Chandigarh,Manual,700000.0,45000,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Mohali,Manual,700000.0,28000,700000.0,0.0
2022,Maruti Suzuki,Swift,VXi,Petrol,Mohali,Manual,700000.0,29000,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,700000.0,42345,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,700000.0,25208,700000.0,0.0
2015,Maruti Suzuki,Swift,VXi,Petrol,Chennai,Manual,700000.0,49820,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,700000.0,70649,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,700000.0,29219,700000.0,0.0
2016,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,700000.0,65555,700000.0,0.0
2018,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,700000.0,57341,700000.0,0.0
2021,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,700000.0,13228,700000.0,0.0
2020,Maruti Suzuki,Swift,VXi,Petrol,Hyderabad,Manual,700000.0,65462,700000.0,0.0
